layer,kind,time_ms,pct,flops,bytes,ai,gflops
Reformatting CopyNode for Input Tensor 0 to Conv_0 + Clip_1,overhead,0.07880952105970322,8.39646,0,0,,
Conv_0 + Clip_1,conv,0.023880844111461616,2.55786,21676032,1105664,19.60453808752026,907.6744481404903
Conv_2 + Clip_3,depthwise,0.03512371573781983,3.75289,7225344,1606272,4.498207028448482,205.71126511595227
Conv_4,pointwise,0.01447075204463138,1.54341,12845056,1205280,10.657321120403557,887.6564231342413
Conv_5 + Clip_6,pointwise,0.037230044485337066,3.97589,38535168,2813120,13.698373336366739,1035.055652839119
Conv_7 + Clip_8,depthwise,0.04327548153989952,4.6182,5419008,3012480,1.7988527724665393,125.22120626211252
Conv_9,pointwise,0.014498106963430304,1.5479,14450688,757296,19.081954744247955,996.7292996561612
Conv_10 + Clip_11,pointwise,0.022567808009113212,2.40706,21676032,1060896,20.431816125237535,960.4845978504824
Conv_12 + Clip_13,depthwise,0.03859779042528332,4.11819,8128512,1809216,4.492836676217765,210.5952675123976
Conv_14 + Add_15,pointwise,0.016987404574132493,1.81205,21676032,1060656,20.436439335656424,1276.0061082554714
Conv_16 + Clip_17,pointwise,0.022649872765509987,2.41946,21676032,1060896,20.431816125237535,957.0045811916038
Conv_18 + Clip_19,depthwise,0.017233598843322817,1.83989,2032128,1131840,1.7954198473282443,117.91663589682261
Conv_20,pointwise,0.011051387194765743,1.1792,7225344,285248,25.330042629571462,653.7952089328779
Conv_21 + Clip_22,pointwise,0.0126379724851034,1.3518,9633792,363904,26.473443545550474,762.2893633733987
Conv_23 + Clip_24,depthwise,0.017561857868909916,1.87443,2709504,605952,4.47148288973384,154.2834488369642
Conv_25 + Add_26,pointwise,0.011188161788760368,1.19335,9633792,363584,26.496743531068475,861.0701366222744
Conv_27 + Clip_28,pointwise,0.011707905245939945,1.24873,9633792,363904,26.473443545550474,822.845060463809
Conv_29 + Clip_30,depthwise,0.01761656770650777,1.88273,2709504,605952,4.47148288973384,153.80430769150774
Conv_31 + Add_32,pointwise,0.011188161788760368,1.19394,9633792,363584,26.496743531068475,861.0701366222744
Conv_33 + Clip_34,pointwise,0.011489065895548545,1.22563,9633792,363904,26.473443545550474,838.5182997107386
Conv_35 + Clip_36,depthwise,0.01028544946839584,1.10742,677376,380160,1.7818181818181817,65.8576955806722
Conv_37,pointwise,0.009957190442808739,1.06238,4816896,125056,38.517911975435005,483.76055752542607
Conv_38 + Clip_39,pointwise,0.011215516707559292,1.1973,9633792,225536,42.71509648127128,858.969965557342
Conv_40 + Clip_41,depthwise,0.012446488053510923,1.32868,1354752,308736,4.388059701492537,108.84612544322087
Conv_42 + Add_43,pointwise,0.011215516707559292,1.19613,9633792,224896,42.83665338645418,858.969965557342
Conv_44 + Clip_45,pointwise,0.011242871626358219,1.20226,9633792,225536,42.71509648127128,856.8800143029445
Conv_46 + Clip_47,depthwise,0.012446488053510923,1.32927,1354752,308736,4.388059701492537,108.84612544322087
Conv_48 + Add_49,pointwise,0.01077783800677649,1.15204,9633792,224896,42.83665338645418,893.8519946155083
Conv_50 + Clip_51,pointwise,0.011160806869961444,1.19298,9633792,225536,42.71509648127128,863.1806026434074
Conv_52 + Clip_53,depthwise,0.012555907728706623,1.34004,1354752,308736,4.388059701492537,107.89757533042594
Conv_54 + Add_55,pointwise,0.010859902763173267,1.15955,9633792,224896,42.83665338645418,887.0974455378092
Conv_56 + Clip_57,pointwise,0.011160806869961444,1.19459,9633792,225536,42.71509648127128,863.1806026434074
Conv_58 + Clip_59,depthwise,0.012446488053510923,1.32967,1354752,308736,4.388059701492537,108.84612544322087
Conv_60,pointwise,0.011817324921135646,1.26467,14450688,262080,55.13846153846154,1222.8391870781604
Conv_61 + Clip_62,pointwise,0.015154625014604508,1.61852,21676032,375168,57.776867963152505,1430.3245365101948
Conv_63 + Clip_64,depthwise,0.014990495501810957,1.60346,2032128,463104,4.388059701492537,135.56109601277055
Conv_65 + Add_66,pointwise,0.01291152167309265,1.37961,21676032,374208,57.92508978963571,1678.8131212428982
Conv_67 + Clip_68,pointwise,0.01452546188222923,1.55122,21676032,375168,57.776867963152505,1492.2783299936873
Conv_69 + Clip_70,depthwise,0.014990495501810957,1.59999,2032128,463104,4.388059701492537,135.56109601277055
Conv_71 + Add_72,pointwise,0.01291152167309265,1.37936,21676032,374208,57.92508978963571,1678.8131212428982
Conv_73 + Clip_74,pointwise,0.01447075204463138,1.54368,21676032,375168,57.776867963152505,1497.9202140390323
