layer,kind,time_ms,pct,flops,bytes,ai,gflops
input_QuantizeLinear,overhead,0.044580225733634314,5.8804,0,0,,
input_cast_to_fp16,unattributed,0.0,0,0,0,,
475 + 475_QuantizeLinear + Conv_0 + Clip_1,conv,0.021590306997742663,2.86291,21676032,552832,39.20907617504052,1003.970531881103
478 + 478_QuantizeLinear + Conv_2 + Clip_3,depthwise,0.018661489841986456,2.46489,7225344,803136,8.996414056896963,387.1793764152586
481 + 481_QuantizeLinear + Conv_4,pointwise,0.018194952595936797,2.39337,12845056,602640,21.314642240807114,705.9680937486197
484 + 484_QuantizeLinear + Conv_5 + Clip_6,pointwise,0.03387578781038375,4.44411,38535168,1406560,27.396746672733478,1137.5430799040498
487 + 487_QuantizeLinear + Conv_7 + Clip_8,depthwise,0.020475801354401805,2.69424,5419008,1506240,3.5977055449330786,264.65425729650593
490 + 490_QuantizeLinear + Conv_9,pointwise,0.010963625282167043,1.45086,14450688,378648,38.16390948849591,1318.0574516264126
493 + 493_QuantizeLinear + Conv_10 + Clip_11,pointwise,0.020398045146726863,2.68332,21676032,530448,40.86363225047507,1062.6524181155764
496 + 496_QuantizeLinear + Conv_12 + Clip_13,depthwise,0.021097851015801358,2.77973,8128512,904608,8.98567335243553,385.27677505695266
499 + 499_QuantizeLinear + Conv_14 + Add_15,pointwise,0.012596505643340857,1.66422,21676032,530328,40.87287867131285,1720.7972285122607
502 + 502_QuantizeLinear + Conv_16 + Clip_17,pointwise,0.01936129571106095,2.54121,21676032,530448,40.86363225047507,1119.5548233694226
505 + 505_QuantizeLinear + Conv_18 + Clip_19,depthwise,0.013581417607223478,1.78108,2032128,565920,3.5908396946564887,149.62561779406462
508 + 508_QuantizeLinear + Conv_20,pointwise,0.009589932279909707,1.25892,7225344,142624,50.660085259142924,753.430137889152
511 + 511_QuantizeLinear + Conv_21 + Clip_22,pointwise,0.011196893905191874,1.46962,9633792,181952,52.94688709110095,860.3986142561303
514 + 514_QuantizeLinear + Conv_23 + Clip_24,depthwise,0.012700180586907448,1.66583,2709504,302976,8.94296577946768,213.34373802473436
517 + 517_QuantizeLinear + Conv_25 + Add_26,pointwise,0.00979728216704289,1.28559,9633792,181792,52.99348706213695,983.312702007006
520 + 520_QuantizeLinear + Conv_27 + Clip_28,pointwise,0.01039341309255079,1.3654,9633792,181952,52.94688709110095,926.9132203457564
523 + 523_QuantizeLinear + Conv_29 + Clip_30,depthwise,0.012389155756207675,1.62542,2709504,302976,8.94296577946768,218.69964776594108
526 + 526_QuantizeLinear + Conv_31 + Add_32,pointwise,0.00894196388261851,1.17074,9633792,181792,52.99348706213695,1077.368699590285
529 + 529_QuantizeLinear + Conv_33 + Clip_34,pointwise,0.0102897381489842,1.3482,9633792,181952,52.94688709110095,936.2523963693911
532 + 532_QuantizeLinear + Conv_35 + Clip_36,depthwise,0.009123395033860044,1.20173,677376,190080,3.5636363636363635,74.24604519326694
535 + 535_QuantizeLinear + Conv_37,pointwise,0.008605020316027088,1.1395,4816896,62528,77.03582395087001,559.7774116847113
538 + 538_QuantizeLinear + Conv_38 + Clip_39,pointwise,0.010134225733634311,1.33417,9633792,112768,85.43019296254256,950.6194408149574
541 + 541_QuantizeLinear + Conv_40 + Clip_41,depthwise,0.01052300677200903,1.38886,1354752,154368,8.776119402985074,128.7419108769949
