layer,kind,time_ms,pct,flops,bytes,ai,gflops
Conv_0 + Clip_1,conv,0.09437766503860091,4.94459,21676032,2211328,9.80226904376013,229.67332356796916
Conv_2 + Clip_3,depthwise,0.050032262171104465,2.60604,7225344,3212544,2.249103514224241,144.4136980112986
Conv_4,pointwise,0.04782406680321412,2.49223,12845056,2410560,5.3286605602017785,268.58978875332116
Reformatting CopyNode for Input Tensor 0 to Conv_5 + Clip_6,overhead,0.02350366850480542,1.22481,0,0,,
Conv_5 + Clip_6,pointwise,0.08796482369623444,4.58863,38535168,5626240,6.8491866681833695,438.07474830020715
Reformatting CopyNode for Input Tensor 0 to Conv_7 + Clip_8,overhead,0.0,0,0,0,,
Conv_7 + Clip_8,depthwise,0.10457166283283442,5.44473,5419008,6024960,0.8994263862332696,51.820998664453555
Reformatting CopyNode for Input Tensor 0 to Conv_9,overhead,0.0,0,0,0,,
Conv_9,pointwise,0.03814430628643454,1.98582,14450688,1514592,9.540977372123978,378.84259557603156
Conv_10 + Clip_11,pointwise,0.048489550338742714,2.52459,21676032,2121792,10.215908062618768,447.0248094398402
Reformatting CopyNode for Input Tensor 0 to Conv_12 + Clip_13,overhead,0.0,0,0,0,,
Conv_12 + Clip_13,depthwise,0.06545938049472193,3.40755,8128512,3618432,2.2464183381088825,124.17642725255264
Reformatting CopyNode for Input Tensor 0 to Conv_14 + Add_15,overhead,0.0,0,0,0,,
Conv_14 + Add_15,pointwise,0.04827780557743816,2.51369,21676032,2121312,10.218219667828212,448.9854445689623
Conv_16 + Clip_17,pointwise,0.04752157428706476,2.47511,21676032,2121792,10.215908062618768,456.1303434322494
Reformatting CopyNode for Input Tensor 0 to Conv_18 + Clip_19,overhead,0.0,0,0,0,,
Conv_18 + Clip_19,depthwise,0.03890053757680794,2.02695,2032128,2263680,0.8977099236641222,52.239072428951
Reformatting CopyNode for Input Tensor 0 to Conv_20,overhead,0.0,0,0,0,,
Conv_20,pointwise,0.02199120592405861,1.14433,7225344,570496,12.665021314785731,328.55606122515536
Conv_21 + Clip_22,pointwise,0.02516737734362691,1.31069,9633792,727808,13.236721772775237,382.78887261328197
Reformatting CopyNode for Input Tensor 0 to Conv_23 + Clip_24,overhead,0.0,0,0,0,,
Conv_23 + Clip_24,depthwise,0.029341774066488108,1.52748,2709504,1211904,2.23574144486692,92.3428826716577
Reformatting CopyNode for Input Tensor 0 to Conv_25 + Add_26,overhead,0.0,0,0,0,,
Conv_25 + Add_26,pointwise,0.025197626595241846,1.3133,9633792,727168,13.248371765534237,382.3293421539623
Conv_27 + Clip_28,pointwise,0.022989431227351507,1.1974,9633792,727808,13.236721772775237,419.05308159769805
Reformatting CopyNode for Input Tensor 0 to Conv_29 + Clip_30,overhead,0.0,0,0,0,,
Conv_29 + Clip_30,depthwise,0.029281275563258234,1.52428,2709504,1211904,2.23574144486692,92.53367375155783
Reformatting CopyNode for Input Tensor 0 to Conv_31 + Add_32,overhead,0.0,0,0,0,,
Conv_31 + Add_32,pointwise,0.025076629588782103,1.30574,9633792,727168,13.248371765534237,384.1741158193613
Conv_33 + Clip_34,pointwise,0.02301968047896644,1.19894,9633792,727808,13.236721772775237,418.50242051806913
Reformatting CopyNode for Input Tensor 0 to Conv_35 + Clip_36,overhead,0.0,0,0,0,,
Conv_35 + Clip_36,depthwise,0.01645559287852529,0.855874,677376,760320,0.8909090909090909,41.16387692624447
Reformatting CopyNode for Input Tensor 0 to Conv_37,overhead,0.0,0,0,0,,
Conv_37,pointwise,0.01899653001417993,0.988318,4816896,250112,19.258955987717503,253.56715128523132
Conv_38 + Clip_39,pointwise,0.02317092673704112,1.20608,9633792,451072,21.35754824063564,415.77068148074494
Reformatting CopyNode for Input Tensor 0 to Conv_40 + Clip_41,overhead,0.0,0,0,0,,
Conv_40 + Clip_41,depthwise,0.01954101654324878,1.01814,1354752,617472,2.1940298507462686,69.32863482314859
Reformatting CopyNode for Input Tensor 0 to Conv_42 + Add_43,overhead,0.0,0,0,0,,
Conv_42 + Add_43,pointwise,0.02667983992437372,1.38653,9633792,449792,21.41832669322709,361.0888231454088
Conv_44 + Clip_45,pointwise,0.02217270143374823,1.15492,9633792,451072,21.35754824063564,434.4888704150757
Reformatting CopyNode for Input Tensor 0 to Conv_46 + Clip_47,overhead,0.0,0,0,0,,
