layer,kind,time_ms,pct,flops,bytes,ai,gflops
Reformatting CopyNode for Input Tensor 0 to Conv_0 + Clip_1,overhead,0.01715029012228519,2.32123,0,0,,
Conv_0 + Clip_1,conv,0.01690816837938234,2.28119,21676032,1105664,19.60453808752026,1281.9858138171576
Conv_2 + Clip_3,depthwise,0.026875513462216324,3.61481,7225344,1606272,4.498207028448482,268.84487286756206
Conv_4,pointwise,0.01291315962148532,1.7377,12845056,1205280,10.657321120403557,994.7260296099796
Conv_5 + Clip_6,pointwise,0.029639736693690525,3.98672,38535168,2813120,13.698373336366739,1300.118432165528
Conv_7 + Clip_8,depthwise,0.032666258479976146,4.3924,5419008,3012480,1.7988527724665393,165.89007288121957
Conv_9,pointwise,0.01291315962148532,1.73743,14450688,757296,19.081954744247955,1119.066783311227
Conv_10 + Clip_11,pointwise,0.018461782896342295,2.47983,21676032,1060896,20.431816125237535,1174.102854621615
Conv_12 + Clip_13,depthwise,0.033614568639678974,4.33583,8128512,1809216,4.492836676217765,241.81515125572733
Conv_14 + Add_15,pointwise,0.017775771291450883,2.42088,21676032,1060656,20.436439335656424,1219.4144290338004
Conv_16 + Clip_17,pointwise,0.01813895390580516,2.45433,21676032,1060896,20.431816125237535,1194.9990122122115
Conv_18 + Clip_19,depthwise,0.014022884276456715,1.89068,2032128,1131840,1.7954198473282443,144.91512301872007
Conv_20,pointwise,0.010592826251999676,1.42609,7225344,285248,25.330042629571462,682.0978488754146
Conv_21 + Clip_22,pointwise,0.010734063935359672,1.44469,9633792,363904,26.473443545550474,897.4971695729139
Conv_23 + Clip_24,depthwise,0.014265006019359563,1.91868,2709504,605952,4.47148288973384,189.94061385763402
Conv_25 + Add_26,pointwise,0.010754240747268244,1.45002,9633792,363584,26.496743531068475,895.8133099677115
Conv_27 + Clip_28,pointwise,0.010491942192456822,1.40972,9633792,363904,26.473443545550474,918.2086427169043
Conv_29 + Clip_30,depthwise,0.014265006019359563,1.91671,2709504,605952,4.47148288973384,189.94061385763402
Conv_31 + Add_32,pointwise,0.010673533499633958,1.43655,9633792,363584,26.496743531068475,902.5869455818342
Conv_33 + Clip_34,pointwise,0.010512119004365392,1.41683,9633792,363904,26.473443545550474,916.4462460898086
Conv_35 + Clip_36,depthwise,0.008897974051679728,1.20546,677376,380160,1.7818181818181817,76.12699206198825
Conv_37,pointwise,0.009200626230308291,1.23507,4816896,125056,38.517911975435005,523.5400155841998
Conv_38 + Clip_39,pointwise,0.01016911320191969,1.36633,9633792,225536,42.71509648127128,947.3581234380758
Conv_40 + Clip_41,depthwise,0.01039105813291397,1.40807,1354752,308736,4.388059701492537,130.37671261878373
Conv_42 + Add_43,pointwise,0.010027875518559694,1.34975,9633792,224896,42.83665338645418,960.7011955991755
Conv_44 + Clip_45,pointwise,0.010027875518559694,1.35788,9633792,225536,42.71509648127128,960.7011955991755
Conv_46 + Clip_47,depthwise,0.01043141175673111,1.41052,1354752,308736,4.388059701492537,129.87235396261823
Conv_48 + Add_49,pointwise,0.00994716827092541,1.33777,9633792,224896,42.83665338645418,968.495931466106
Conv_50 + Clip_51,pointwise,0.010290174073371116,1.37673,9633792,225536,42.71509648127128,936.212733750569
Conv_52 + Clip_53,depthwise,0.01039105813291397,1.40517,1354752,308736,4.388059701492537,130.37671261878373
Conv_54 + Add_55,pointwise,0.009886637835199698,1.32262,9633792,224896,42.83665338645418,974.4254983934495
Conv_56 + Clip_57,pointwise,0.010290174073371116,1.37438,9633792,225536,42.71509648127128,936.212733750569
Conv_58 + Clip_59,depthwise,0.010310350885279684,1.39463,1354752,308736,4.388059701492537,131.39727397000712
Conv_60,pointwise,0.010512119004365392,1.40825,14450688,262080,55.13846153846154,1374.669369134713
Conv_61 + Clip_62,pointwise,0.01315528136438817,1.76436,21676032,375168,57.776867963152505,1647.7056932189846
Conv_63 + Clip_64,depthwise,0.012307855264228194,1.65646,2032128,463104,4.388059701492537,165.10821393116467
Conv_65 + Add_66,pointwise,0.011299014668799654,1.51676,21676032,374208,57.92508978963571,1918.4001999621037
Conv_67 + Clip_68,pointwise,0.012529800195222474,1.69484,21676032,375168,57.776867963152505,1729.9583123651819
Conv_69 + Clip_70,depthwise,0.012267501640411054,1.65482,2032128,463104,4.388059701492537,165.65133305593824
Conv_71 + Add_72,pointwise,0.011621843659336788,1.56229,21676032,374208,57.92508978963571,1865.1113055187116
Conv_73 + Clip_74,pointwise,0.012549977007131046,1.69575,21676032,375168,57.776867963152505,1727.177028904788
Conv_75 + Clip_76,depthwise,0.00869620593259402,1.17546,508032,293760,1.7294117647058824,58.4199596856209
Conv_77,pointwise,0.01039105813291397,1.40157,9031680,256768,35.17447657028913,869.1780841252247
Conv_78 + Clip_79,pointwise,0.012549977007131046,1.68871,15052800,418880,35.93582887700535,1199.4284922949914
Conv_80 + Clip_81,depthwise,0.009644516092296848,1.296,846720,207360,4.083333333333333,87.7928961802741
Conv_82 + Add_83,pointwise,0.011742904530788214,1.58111,15052800,417280,36.07361963190184,1281.863440219046
Conv_84 + Clip_85,pointwise,0.011460429164068222,1.54061,15052800,418880,35.93582887700535,1313.4586658582475
Conv_86 + Clip_87,depthwise,0.00966469290420542,1.29431,846720,207360,4.083333333333333,87.6096124721733
Conv_88 + Add_89,pointwise,0.011884142214148208,1.59969,15052800,417280,36.07361963190184,1266.6290699617737
Conv_90 + Clip_91,pointwise,0.011702550906971072,1.57267,15052800,418880,35.93582887700535,1286.283658978422
Conv_92 + Clip_93,depthwise,0.009644516092296848,1.28917,846720,207360,4.083333333333333,87.7928961802741
Conv_94,pointwise,0.01267103787858247,1.69606,30105600,740480,40.65687121866897,2375.9379688136455
Conv_95 + Clip_96,pointwise,0.016000211843496655,2.15498,40140800,978560,41.02027468933944,2508.7667833795194
GlobalAveragePool_97,unattributed,0.007142591415634067,0.960272,0,0,,
Gemm_104_myl54_0,unattributed,0.02677462940267347,3.60121,0,0,,
__myl_Cast_myl54_1,unattributed,0.004297660936525583,0.577976,0,0,,
