layer,kind,time_ms,pct,flops,bytes,ai,gflops
Reformatting CopyNode for Input Tensor 0 to Conv_0 + Clip_1,overhead,0.080341553906591,8.57578,0,0,,
Conv_0 + Clip_1,conv,0.02515277171540812,2.74369,21676032,1105664,19.60453808752026,861.7750856746204
Conv_2 + Clip_3,depthwise,0.03472828459188128,3.7022,7225344,1606272,4.498207028448482,208.05358182560877
Conv_4,pointwise,0.014595154954168485,1.55248,12845056,1205280,10.657321120403557,880.0904163289721
Conv_5 + Clip_6,pointwise,0.03729266695766041,3.96859,38535168,2813120,13.698373336366739,1033.3175700131674
Conv_7 + Clip_8,depthwise,0.04285792230467045,4.5556,5419008,3012480,1.7988527724665393,126.44122039974539
Conv_9,pointwise,0.014649716281099958,1.55902,14450688,757296,19.081954744247955,986.4141886927374
Conv_10 + Clip_11,pointwise,0.022833915320820602,2.426,21676032,1060896,20.431816125237535,949.2910740645161
Conv_12 + Clip_13,depthwise,0.03862941946748145,4.10734,8128512,1809216,4.492836676217765,210.42283606779662
Conv_14 + Add_15,pointwise,0.01786883457005674,1.90055,21676032,1060656,20.436439335656424,1213.0635557129774
Conv_16 + Clip_17,pointwise,0.021688127455259713,2.30764,21676032,1060896,20.431816125237535,999.4423006188678
Conv_18 + Clip_19,depthwise,0.017186817983413358,1.82948,2032128,1131840,1.7954198473282443,118.23759359999998
Conv_20,pointwise,0.011075949367088608,1.17928,7225344,285248,25.330042629571462,652.345344
Conv_21 + Clip_22,pointwise,0.012549105194238325,1.33341,9633792,363904,26.473443545550474,767.6875642434783
Conv_23 + Clip_24,depthwise,0.017541466608467917,1.86743,2709504,605952,4.47148288973384,154.46279723794711
Conv_25 + Add_26,pointwise,0.011157791357485814,1.18748,9633792,363584,26.496743531068475,863.4138864352078
Conv_27 + Clip_28,pointwise,0.011812527280663466,1.25673,9633792,363904,26.473443545550474,815.5572276027713
Conv_29 + Clip_30,depthwise,0.017486905281536447,1.86212,2709504,605952,4.47148288973384,154.9447404430577
Conv_31 + Add_32,pointwise,0.011157791357485814,1.18807,9633792,363584,26.496743531068475,863.4138864352078
Conv_33 + Clip_34,pointwise,0.011703404626800524,1.24365,9633792,363904,26.473443545550474,823.1614907972029
Conv_35 + Clip_36,depthwise,0.010421213443910957,1.11297,677376,380160,1.7818181818181817,64.99972423036648
Conv_37,pointwise,0.009902880838061982,1.0551,4816896,125056,38.517911975435005,486.41360819834705
Conv_38 + Clip_39,pointwise,0.01123963334788302,1.19566,9633792,225536,42.71509648127128,857.1268921165049
Conv_40 + Clip_41,depthwise,0.012412701876909646,1.32233,1354752,308736,4.388059701492537,109.1423940923077
Conv_42 + Add_43,pointwise,0.011157791357485814,1.18684,9633792,224896,42.83665338645418,863.4138864352078
Conv_44 + Clip_45,pointwise,0.011130510694020079,1.18535,9633792,225536,42.71509648127128,865.5300969411763
Conv_46 + Clip_47,depthwise,0.012412701876909646,1.32046,1354752,308736,4.388059701492537,109.1423940923077
Conv_48 + Add_49,pointwise,0.010775862068965518,1.14432,9633792,224896,42.83665338645418,894.0158975999999
Conv_50 + Clip_51,pointwise,0.01123963334788302,1.19797,9633792,225536,42.71509648127128,857.1268921165049
Conv_52 + Clip_53,depthwise,0.012412701876909646,1.32187,1354752,308736,4.388059701492537,109.1423940923077
Conv_54 + Add_55,pointwise,0.010803142732431253,1.1466,9633792,224896,42.83665338645418,891.7582816969697
Conv_56 + Clip_57,pointwise,0.011157791357485814,1.18683,9633792,225536,42.71509648127128,863.4138864352078
Conv_58 + Clip_59,depthwise,0.012549105194238325,1.33991,1354752,308736,4.388059701492537,107.95606372173913
Conv_60,pointwise,0.01178524661719773,1.2547,14450688,262080,55.13846153846154,1226.1676373333335
Conv_61 + Clip_62,pointwise,0.015140768223483196,1.60957,21676032,375168,57.776867963152505,1431.6335657513512
Conv_63 + Clip_64,depthwise,0.014977084242688782,1.59521,2032128,463104,4.388059701492537,135.6824844590164
Conv_65 + Add_66,pointwise,0.013012876473155827,1.38687,21676032,374208,57.92508978963571,1665.7371676981134
Conv_67 + Clip_68,pointwise,0.01443147097337407,1.53619,21676032,375168,57.776867963152505,1501.9974083024574
Conv_69 + Clip_70,depthwise,0.014977084242688782,1.59367,2032128,463104,4.388059701492537,135.6824844590164
Conv_71 + Add_72,pointwise,0.013094718463553034,1.39154,21676032,374208,57.92508978963571,1655.3263103999998
Conv_73 + Clip_74,pointwise,0.014458751636839807,1.53997,21676032,375168,57.776867963152505,1499.163450928302
Conv_75 + Clip_76,depthwise,0.01003928415539066,1.07278,508032,293760,1.7294117647058824,50.604404869565215
Conv_77,pointwise,0.011403317328677434,1.21205,9031680,256768,35.17447657028913,792.0221580861243
Conv_78 + Clip_79,pointwise,0.01443147097337407,1.53561,15052800,418880,35.93582887700535,1043.0537557655955
Conv_80 + Clip_81,depthwise,0.011376036665211697,1.20874,846720,207360,4.083333333333333,74.43013985611512
Conv_82 + Add_83,pointwise,0.013531209079004802,1.44156,15052800,417280,36.07361963190184,1112.4504774193547
Conv_84 + Clip_85,pointwise,0.013012876473155827,1.38646,15052800,418880,35.93582887700535,1156.7619220125787
Conv_86 + Clip_87,depthwise,0.011075949367088608,1.17268,846720,207360,4.083333333333333,76.44672
Conv_88 + Add_89,pointwise,0.013749454386730685,1.46785,15052800,417280,36.07361963190184,1094.7925333333333
Conv_90 + Clip_91,pointwise,0.012767350501964207,1.36842,15052800,418880,35.93582887700535,1179.0073435897436
Conv_92 + Clip_93,depthwise,0.01123963334788302,1.19817,846720,207360,4.083333333333333,75.33341825242718
Conv_94,pointwise,0.015740942819729375,1.68586,30105600,740480,40.65687121866897,1912.5665053726168
Conv_95 + Clip_96,pointwise,0.01890549978175469,2.0126,40140800,978560,41.02027468933944,2123.234004040404
GlobalAveragePool_97,unattributed,0.008184199039720645,0.874274,0,0,,
Gemm_104_myl54_0,unattributed,0.035055652553470096,3.8475,0,0,,
__myl_Cast_myl54_1,unattributed,0.005183326058489743,0.544915,0,0,,
