layer,kind,time_ms,pct,flops,bytes,ai,gflops
Reformatting CopyNode for Input Tensor 0 to Conv_69 + Clip_70,overhead,0.0,0,0,0,,
Conv_69 + Clip_70,depthwise,0.02337286956247337,1.21576,2032128,926208,2.1940298507462686,86.94388143348522
Reformatting CopyNode for Input Tensor 0 to Conv_71 + Add_72,overhead,0.0,0,0,0,,
Conv_71 + Add_72,pointwise,0.04040167452941826,2.09909,21676032,748416,28.962544894817857,536.5132077438205
Conv_73 + Clip_74,pointwise,0.035271784976096184,1.83218,21676032,750336,28.888433981576252,614.5430976824656
Reformatting CopyNode for Input Tensor 0 to Conv_75 + Clip_76,overhead,0.0,0,0,0,,
Conv_75 + Clip_76,depthwise,0.014236202369870145,0.741456,508032,587520,0.8647058823529412,35.68592148389318
Reformatting CopyNode for Input Tensor 0 to Conv_77,overhead,0.0,0,0,0,,
Conv_77,pointwise,0.02956516227772606,1.53671,9031680,513536,17.587238285144565,305.483863581034
Conv_78 + Clip_79,pointwise,0.035878872497199385,1.8657,15052800,837760,17.967914438502675,419.54495646915836
Reformatting CopyNode for Input Tensor 0 to Conv_80 + Clip_81,overhead,0.0,0,0,0,,
Conv_80 + Clip_81,depthwise,0.015662858044462675,0.814565,846720,414720,2.0416666666666665,54.05909940551002
Reformatting CopyNode for Input Tensor 0 to Conv_82 + Add_83,overhead,0.0,0,0,0,,
Conv_82 + Add_83,pointwise,0.039855295760425374,2.07108,15052800,834560,18.03680981595092,377.68632029439846
Conv_84 + Clip_85,pointwise,0.03478611495921362,1.8077,15052800,837760,17.967914438502675,432.724379185467
Reformatting CopyNode for Input Tensor 0 to Conv_86 + Clip_87,overhead,0.0,0,0,0,,
Conv_86 + Clip_87,depthwise,0.014843289890973348,0.767418,846720,414720,2.0416666666666665,57.043957654894015
Reformatting CopyNode for Input Tensor 0 to Conv_88 + Add_89,overhead,0.0,0,0,0,,
Conv_88 + Add_89,pointwise,0.03903572760693605,2.0279,15052800,834560,18.03680981595092,385.61597087600717
Conv_90 + Clip_91,pointwise,0.03454327995077233,1.79482,15052800,837760,17.967914438502675,435.76637833615575
Reformatting CopyNode for Input Tensor 0 to Conv_92 + Clip_93,overhead,0.0,0,0,0,,
Conv_92 + Clip_93,depthwise,0.014479037378311426,0.750782,846720,414720,2.0416666666666665,58.47902577199826
Reformatting CopyNode for Input Tensor 0 to Conv_94,overhead,0.0,0,0,0,,
Conv_94,pointwise,0.05087393426844854,2.64344,30105600,1480960,20.328435609334484,591.768661750054
Conv_95 + Clip_96,pointwise,0.06459411224538096,3.35558,40140800,1957120,20.51013734466972,621.4312513114602
Reformatting CopyNode for Input Tensor 0 to GlobalAveragePool_97,overhead,0.0,0,0,0,,
GlobalAveragePool_97,unattributed,0.010806157875637039,0.562429,0,0,,
Reformatting CopyNode for Input Tensor 0 to {ForeignNode[classifier.1.weight...Gemm_104_2]},overhead,0.0,0,0,0,,
Gemm_104_myl88_0,unattributed,0.08031767904195394,4.17217,0,0,,
