layer,kind,time_ms,pct,flops,bytes,ai,gflops
Reformatting CopyNode for Input Tensor 0 to Conv_0 + Clip_1,overhead,0.0799388699571191,8.52866,0,0,,
Conv_0 + Clip_1,conv,0.02414334742277063,2.61664,21676032,1105664,19.60453808752026,897.8055785071627
Conv_2 + Clip_3,depthwise,0.03485849934365975,3.71133,7225344,1606272,4.498207028448482,207.27639273186855
Conv_4,pointwise,0.014606588168373152,1.55321,12845056,1205280,10.657321120403557,879.401531140085
Conv_5 + Clip_6,pointwise,0.037133071234794784,3.94917,38535168,2813120,13.698373336366739,1037.7587072273031
Conv_7 + Clip_8,depthwise,0.04272358528047607,4.5356,5419008,3012480,1.7988527724665393,126.83879324323448
Conv_9,pointwise,0.014579183687757067,1.55026,14450688,757296,19.081954744247955,991.1863592290855
Conv_10 + Clip_11,pointwise,0.022964954756278987,2.43679,21676032,1060896,20.431816125237535,943.8743611751913
Conv_12 + Clip_13,depthwise,0.038640317668679446,4.10626,8128512,1809216,4.492836676217765,210.36348794276867
Conv_14 + Add_15,pointwise,0.017703294477990725,1.88058,21676032,1060656,20.436439335656424,1224.4066790476938
Conv_16 + Clip_17,pointwise,0.022608696508269886,2.40321,21676032,1060896,20.431816125237535,958.7475329270427
Conv_18 + Clip_19,depthwise,0.017374440710597707,1.8477,2032128,1131840,1.7954198473282443,116.96077208174441
Conv_20,pointwise,0.011016601207666054,1.17195,7225344,285248,25.330042629571462,655.8596307336735
Conv_21 + Clip_22,pointwise,0.01249644316093463,1.32811,9633792,363904,26.473443545550474,770.9227238448442
Conv_23 + Clip_24,depthwise,0.017593676555526384,1.87207,2709504,605952,4.47148288973384,154.00442263722942
Conv_25 + Add_26,pointwise,0.011427668416907325,1.21413,9633792,363584,26.496743531068475,843.0234102475996
Conv_27 + Clip_28,pointwise,0.011592095300603832,1.23382,9633792,363904,26.473443545550474,831.0656313788393
Conv_29 + Clip_30,depthwise,0.017593676555526384,1.87002,2709504,605952,4.47148288973384,154.00442263722942
Conv_31 + Add_32,pointwise,0.011208432571978648,1.192,9633792,363584,26.496743531068475,859.5128657047652
Conv_33 + Clip_34,pointwise,0.011756522184300343,1.25023,9633792,363904,26.473443545550474,819.4423358350792
Conv_35 + Clip_36,depthwise,0.010276680231031766,1.10121,677376,380160,1.7818181818181817,65.9138928887342
Conv_37,pointwise,0.009975230944254836,1.05986,4816896,125056,38.517911975435005,482.8856621885288
Conv_38 + Clip_39,pointwise,0.011235837052594731,1.19643,9633792,225536,42.71509648127128,857.416492861583
Conv_40 + Clip_41,depthwise,0.012578656602782883,1.33731,1354752,308736,4.388059701492537,107.70243936067678
Conv_42 + Add_43,pointwise,0.011235837052594731,1.19293,9633792,224896,42.83665338645418,857.416492861583
Conv_44 + Clip_45,pointwise,0.011290646013826901,1.20156,9633792,225536,42.71509648127128,853.254276876818
Conv_46 + Clip_47,depthwise,0.01249644316093463,1.32851,1354752,308736,4.388059701492537,108.41100804068121
Conv_48 + Add_49,pointwise,0.0109343877658178,1.16205,9633792,224896,42.83665338645418,881.054541536965
Conv_50 + Clip_51,pointwise,0.011181028091362562,1.19018,9633792,225536,42.71509648127128,861.6195148854142
Conv_52 + Clip_53,depthwise,0.012441634199702458,1.32378,1354752,308736,4.388059701492537,108.8885895739001
Conv_54 + Add_55,pointwise,0.010797365362737376,1.1477,9633792,224896,42.83665338645418,892.2354367341346
Conv_56 + Clip_57,pointwise,0.011290646013826901,1.20263,9633792,225536,42.71509648127128,853.254276876818
Conv_58 + Clip_59,depthwise,0.012469038680318545,1.32588,1354752,308736,4.388059701492537,108.649273992419
Conv_60,pointwise,0.011866140106764681,1.2618,14450688,262080,55.13846153846154,1217.8086445955505
Conv_61 + Clip_62,pointwise,0.015209486741927016,1.61729,21676032,375168,57.776867963152505,1425.1652516483066
Conv_63 + Clip_64,depthwise,0.01518208226131093,1.61458,2032128,463104,4.388059701492537,133.85041425961364
Conv_65 + Add_66,pointwise,0.01296231933140807,1.37892,21676032,374208,57.92508978963571,1672.2340690587955
Conv_67 + Clip_68,pointwise,0.014496970245908812,1.5414,21676032,375168,57.776867963152505,1495.211180840851
Conv_69 + Clip_70,depthwise,0.015017655377614422,1.59583,2032128,463104,4.388059701492537,135.31592974420795
Conv_71 + Add_72,pointwise,0.013208959656952832,1.40364,21676032,374208,57.92508978963571,1641.0097814622618
Conv_73 + Clip_74,pointwise,0.014469565765292729,1.53622,21676032,375168,57.776867963152505,1498.043020198504
Conv_75 + Clip_76,depthwise,0.010139657827951343,1.08274,508032,293760,1.7294117647058824,50.103465878260785
Conv_77,pointwise,0.012057971471077273,1.27973,9031680,256768,35.17447657028913,749.0215100992522
Conv_78 + Clip_79,pointwise,0.014606588168373152,1.55483,15052800,418880,35.93582887700535,1030.5486693047872
Conv_80 + Clip_81,depthwise,0.011372859455675155,1.20482,846720,207360,4.083333333333333,74.450933232757
Conv_82 + Add_83,pointwise,0.013208959656952832,1.4052,15052800,417280,36.07361963190184,1139.5901260154594
Conv_84 + Clip_85,pointwise,0.012825296928327646,1.36565,15052800,418880,35.93582887700535,1173.680428930452
Conv_86 + Clip_87,depthwise,0.011208432571978648,1.182,846720,207360,4.083333333333333,75.54312296233289
Conv_88 + Add_89,pointwise,0.01378445374989061,1.46815,15052800,417280,36.07361963190184,1092.0128046509972
Conv_90 + Clip_91,pointwise,0.012880105889559814,1.37313,15052800,418880,35.93582887700535,1168.6860441264928
Conv_92 + Clip_93,depthwise,0.01134545497505907,1.20493,846720,207360,4.083333333333333,74.6307664048168
Conv_94,pointwise,0.015620553951168285,1.6654,30105600,740480,40.65687121866897,1927.3068096121108
Conv_95 + Clip_96,pointwise,0.018826878183250198,2.00019,40140800,978560,41.02027468933944,2132.100691856192
GlobalAveragePool_97,unattributed,0.0077828724949680584,0.835002,0,0,,
Gemm_104_myl54_0,unattributed,0.03554361135906187,3.80341,0,0,,
__myl_Cast_myl54_1,unattributed,0.005672727487529535,0.603336,0,0,,
