layer,kind,time_ms,pct,flops,bytes,ai,gflops
601 + 601_QuantizeLinear + Conv_78 + Clip_79,pointwise,0.010297570195549563,1.48336,15052800,209440,71.8716577540107,1461.7817324037824
604 + 604_QuantizeLinear + Conv_80 + Clip_81,depthwise,0.009170472960215779,1.28121,846720,103680,8.166666666666666,92.33111570944284
607 + 607_QuantizeLinear + Conv_82 + Add_83,pointwise,0.011450283277140934,1.64507,15052800,208640,72.14723926380368,1314.6224975980326
610 + 610_QuantizeLinear + Conv_84 + Clip_85,pointwise,0.011962600202292653,1.49746,15052800,209440,71.8716577540107,1258.3217482362325
613 + 613_QuantizeLinear + Conv_86 + Clip_87,depthwise,0.011962600202292653,1.50114,846720,103680,8.166666666666666,70.78059833828807
616 + 616_QuantizeLinear + Conv_88 + Add_89,pointwise,0.015113349291975728,1.95254,15052800,208640,72.14723926380368,995.9936549598654
619 + 619_QuantizeLinear + Conv_90 + Clip_91,pointwise,0.01293600236008092,1.69315,15052800,209440,71.8716577540107,1163.6361513392485
622 + 622_QuantizeLinear + Conv_92 + Clip_93,depthwise,0.012346837896156442,1.62168,846720,103680,8.166666666666666,68.57788262236626
625 + 625_QuantizeLinear + Conv_94,pointwise,0.016317294066082268,2.13782,30105600,370240,81.31374243733794,1845.0117941171764
628 + 628_QuantizeLinear + Conv_95 + Clip_96,pointwise,0.01542073944706676,2.04218,40140800,489280,82.04054937867888,2603.0398955761707
463_DequantizeLinear,overhead,0.010937966351989214,1.44572,0,0,,
GlobalAveragePool_97,unattributed,0.014677879905596767,1.92697,0,0,,
__myl_FcCast_myl56_0,unattributed,0.046518376803776136,6.06395,0,0,,
