layer,kind,time_ms,pct,flops,bytes,ai,gflops
Reformatting CopyNode for Input Tensor 0 to Conv_0 + Clip_1,overhead,0.09105989430301119,6.21474,0,0,,
Conv_0 + Clip_1,conv,0.03844101476997101,2.60788,21676032,2211328,9.80226904376013,563.8777261658731
Conv_2 + Clip_3,depthwise,0.06115483110173336,4.12493,7225344,3212544,2.249103514224241,118.14837633972643
Conv_4,pointwise,0.035342347419691986,2.38296,12845056,2410560,5.3286605602017785,363.4465998385555
Conv_5 + Clip_6,pointwise,0.06989541164638836,4.71225,38535168,5626240,6.8491866681833695,551.3261470574827
Conv_7 + Clip_8,depthwise,0.10348379641497901,6.97351,5419008,6024960,0.8994263862332696,52.365763411590606
Conv_9,pointwise,0.027011024826960623,1.8201,14450688,1514592,9.540977372123978,534.9922149409258
Conv_10 + Clip_11,pointwise,0.03507925302202678,2.36515,21676032,2121792,10.215908062618768,617.9160082567693
Conv_12 + Clip_13,depthwise,0.06451659284967759,4.34644,8128512,3618432,2.2464183381088825,125.99103022906486
Conv_14 + Add_15,pointwise,0.03633625958864941,2.44797,21676032,2121312,10.218219667828212,596.5399918810323
Conv_16 + Clip_17,pointwise,0.03481615862436158,2.34757,21676032,2121792,10.215908062618768,622.5853987473745
Conv_18 + Clip_19,depthwise,0.03917183254126324,2.64092,2032128,2263680,0.8977099236641222,51.8772768126019
Conv_20,pointwise,0.01616568910098401,1.09025,7225344,570496,12.665021314785731,446.9555213430519
Conv_21 + Clip_22,pointwise,0.01905972747530122,1.2852,9633792,727808,13.236721772775237,505.45276749019973
Conv_23 + Clip_24,depthwise,0.02826803139358325,1.90555,2709504,1211904,2.23574144486692,95.85046663755469
Conv_25 + Add_26,pointwise,0.016282619944390765,1.09816,9633792,727168,13.248371765534237,591.6610491985822
Conv_27 + Clip_28,pointwise,0.017071903137386366,1.15041,9633792,727808,13.236721772775237,564.306856855497
Conv_29 + Clip_30,depthwise,0.02829726410443494,1.90778,2709504,1211904,2.23574144486692,95.75144756044979
Conv_31 + Add_32,pointwise,0.01610722367928063,1.08437,9633792,727168,13.248371765534237,598.1038192443018
Conv_33 + Clip_34,pointwise,0.017247299402496502,1.16286,9633792,727808,13.236721772775237,558.5681430569665
Conv_35 + Clip_36,depthwise,0.015668733016505298,1.05759,677376,760320,0.8909090909090909,43.23106401050157
Conv_37,pointwise,0.012306971268561062,0.830831,4816896,250112,19.258955987717503,391.39572969549914
Conv_38 + Clip_39,pointwise,0.01639955078779752,1.10478,9633792,451072,21.35754824063564,587.4424320919969
Conv_40 + Clip_41,depthwise,0.018913563921042775,1.27264,1354752,617472,2.1940298507462686,71.62859446562238
Conv_42 + Add_43,pointwise,0.013768606811145513,0.930224,9633792,449792,21.41832669322709,699.6925783516141
Conv_44 + Clip_45,pointwise,0.01581489657076374,1.06625,9633792,451072,21.35754824063564,609.1593427053793
Conv_46 + Clip_47,depthwise,0.018679702234229264,1.25841,1354752,617472,2.1940298507462686,72.52535308178042
Conv_48 + Add_49,pointwise,0.013680908678590445,0.927223,9633792,449792,21.41832669322709,704.1777871872014
Conv_50 + Clip_51,pointwise,0.015405638618840095,1.03875,9633792,451072,21.35754824063564,625.3419438398678
Conv_52 + Clip_53,depthwise,0.018738167655932638,1.26205,1354752,617472,2.1940298507462686,72.29906492863915
Conv_54 + Add_55,pointwise,0.013622443256887067,0.91884,9633792,449792,21.41832669322709,707.2000094498075
Conv_56 + Clip_57,pointwise,0.01493791524521307,1.00873,9633792,451072,21.35754824063564,644.9221221205681
Conv_58 + Clip_59,depthwise,0.018738167655932638,1.26256,1354752,617472,2.1940298507462686,72.29906492863915
Conv_60,pointwise,0.01675034331801779,1.12792,14450688,524160,27.56923076923077,862.7099591717545
Conv_61 + Clip_62,pointwise,0.021398344343436338,1.44081,21676032,750336,28.888433981576252,1012.9770627160152
Conv_63 + Clip_64,depthwise,0.02274304904261403,1.53306,2032128,926208,2.1940298507462686,89.3516078777462
Conv_65 + Add_66,pointwise,0.020053639644258645,1.3533,21676032,748416,28.962544894817857,1080.9026383500336
Conv_67 + Clip_68,pointwise,0.020901388258957626,1.40737,21676032,750336,28.888433981576252,1037.061832039333
Conv_69 + Clip_70,depthwise,0.022655350910058963,1.52719,2032128,926208,2.1940298507462686,89.69748506953103
Conv_71 + Add_72,pointwise,0.019381287294669796,1.30319,21676032,748416,28.962544894817857,1118.4000149443787
Conv_73 + Clip_74,pointwise,0.020959853680661,1.41113,21676032,750336,28.888433981576252,1034.1690514757647
Conv_75 + Clip_76,depthwise,0.014031701208810712,0.947567,508032,587520,0.8647058823529412,36.206016108795076
Conv_77,pointwise,0.015610267594801917,1.04974,9031680,513536,17.587238285144565,578.5730414389226
Conv_78 + Clip_79,pointwise,0.022567652777503895,1.5215,15052800,837760,17.967914438502675,667.0077809334729
Conv_80 + Clip_81,depthwise,0.014236330184772536,0.959712,846720,414720,2.0416666666666665,59.476001821429286
Conv_82 + Add_83,pointwise,0.019410520005521487,1.30791,15052800,834560,18.03680981595092,775.4969983142183
Conv_84 + Clip_85,pointwise,0.02312307428368599,1.55697,15052800,837760,17.967914438502675,650.9861022511265
Conv_86 + Clip_87,depthwise,0.014440959160734358,0.970129,846720,414720,2.0416666666666665,58.633224467684336
Conv_88 + Add_89,pointwise,0.01809504801719548,1.2202,15052800,834560,18.03680981595092,831.8740014226836
Conv_90 + Clip_91,pointwise,0.022626118199207273,1.52496,15052800,837760,17.967914438502675,665.2842466158153
Conv_92 + Clip_93,depthwise,0.013914770365403957,0.935731,846720,414720,2.0416666666666665,60.85044724167239
Conv_94,pointwise,0.024584709826270434,1.65479,30105600,1480960,20.328435609334484,1224.5660092286353
Conv_95 + Clip_96,pointwise,0.03887950543274635,2.61969,40140800,1957120,20.51013734466972,1032.4411165526637
GlobalAveragePool_97,unattributed,0.010553008617459723,0.710423,0,0,,
Reformatting CopyNode for Input Tensor 0 to {ForeignNode[classifier.1.weight...Gemm_104_2]},overhead,0.0,0,0,0,,
Gemm_104_myl55_0,unattributed,0.06401963676519888,4.30881,0,0,,
